Symptoms,Disease,Description,Precautions,Medications,Doctor_Recommendation
"i have loss of taste, loss of smell, dry cough, body aches, fatigue",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"experiencing stomach cramps, nausea, muscle aches, vomiting, diarrhea, low-grade fever",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"suffering from sweats, headache, chills, dry cough, muscle aches",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"experiencing itchy eyes, runny nose, watery eyes, itchy throat, nasal congestion, sneezing",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"suffering from body aches, loss of smell, sore throat",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"suffering from runny nose, mild fever, congestion, cough, sore throat, sneezing",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"congestion, sore throat, runny nose, sneezing, mild fever, cough",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"throbbing pain, sensitivity to sound, vomiting, sensitivity to light",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"suffering from loss of taste, sore throat, body aches, loss of smell, dry cough",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"feeling fever, nausea, vomiting, abdominal cramps, diarrhea",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"experiencing diarrhea, vomiting, weakness, abdominal cramps",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"experiencing stomach cramps, low-grade fever, muscle aches, nausea, diarrhea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"experiencing sensitivity to sound, sensitivity to light, vomiting, severe headache, nausea, throbbing pain",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"i have runny nose, mild fever, sore throat, cough, congestion, sneezing",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"experiencing joint pain, rash, fatigue, severe headache, pain behind eyes, high fever, muscle pain",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"suffering from vomiting, sensitivity to light, throbbing pain, nausea, sensitivity to sound",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"feeling runny nose, itchy throat, nasal congestion, itchy eyes",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"experiencing rash, prolonged high fever, weakness",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"experiencing sensitivity to light, nausea, severe headache, sensitivity to sound, vomiting",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"experiencing pain behind eyes, high fever",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"i have fatigue, muscle aches, headache, chills",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"i have chest tightness, wheezing, coughing episodes, shortness of breath, rapid breathing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"i have body aches, shortness of breath, fever, fatigue, sore throat, loss of taste, loss of smell",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"suffering from diarrhea, nausea, stomach cramps, muscle aches, low-grade fever, vomiting",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"experiencing dry cough, shortness of breath, loss of smell, body aches, loss of taste",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"watery eyes, runny nose, itchy throat",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"i have sensitivity to sound, sensitivity to light, throbbing pain",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"experiencing rash, weakness, prolonged high fever",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"i have chest tightness, shortness of breath, coughing episodes, rapid breathing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"suffering from coughing episodes, rapid breathing, shortness of breath, chest tightness",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"feeling muscle aches, diarrhea, vomiting",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"suffering from watery eyes, itchy eyes, itchy throat, nasal congestion, sneezing, runny nose",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"nasal congestion, itchy throat, sneezing, watery eyes, itchy eyes",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"cough, runny nose, sore throat",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"experiencing sneezing, runny nose, mild fever",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"dry cough, high fever, chills, sweats, muscle aches, headache, fatigue",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"rash, high fever, pain behind eyes",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"feeling rash, prolonged high fever",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"sensitivity to light, nausea",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"experiencing severe headache, throbbing pain, sensitivity to light, vomiting, sensitivity to sound, nausea",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"feeling muscle pain, joint pain, pain behind eyes, severe headache, fatigue, rash, high fever",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"muscle aches, vomiting, nausea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"feeling coughing episodes, shortness of breath, wheezing, chest tightness, rapid breathing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"feeling throbbing pain, severe headache, nausea",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"i have fatigue, body aches",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"suffering from muscle pain, fatigue, pain behind eyes, joint pain, severe headache",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"fatigue, severe headache, pain behind eyes, joint pain, muscle pain, high fever",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"feeling runny nose, itchy eyes, watery eyes, sneezing",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"i have vomiting, weakness, abdominal cramps",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"i have diarrhea, stomach cramps, vomiting, nausea, muscle aches",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"sweats, muscle aches, chills, fatigue, high fever, headache",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"feeling weakness, headache, prolonged high fever, stomach pain, loss of appetite",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"suffering from headache, rash, stomach pain, prolonged high fever",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"i have watery eyes, runny nose",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"suffering from diarrhea, low-grade fever, stomach cramps, nausea, vomiting",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"i have rash, high fever",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"coughing episodes, chest tightness",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"experiencing loss of taste, sore throat, fatigue",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"vomiting, sensitivity to sound, severe headache, nausea, throbbing pain",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"headache, rash",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"feeling itchy throat, nasal congestion, watery eyes, sneezing, runny nose, itchy eyes",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"coughing episodes, wheezing, rapid breathing, shortness of breath, chest tightness",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"suffering from vomiting, stomach cramps, nausea, diarrhea, muscle aches",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"feeling fever, body aches, sore throat, shortness of breath, fatigue",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"suffering from loss of smell, loss of taste, sore throat, body aches, fever",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"rash, stomach pain, weakness, prolonged high fever",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"low-grade fever, stomach cramps, vomiting, diarrhea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"i have rapid breathing, chest tightness, wheezing, coughing episodes",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"chest tightness, coughing episodes, rapid breathing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"i have vomiting, abdominal cramps, nausea, diarrhea, fever, weakness",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"feeling fatigue, chills, dry cough, high fever, sweats",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"experiencing runny nose, cough, sneezing",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"sensitivity to sound, sensitivity to light, vomiting, nausea, throbbing pain",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"i have wheezing, rapid breathing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"experiencing nausea, abdominal cramps, vomiting",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"feeling sneezing, congestion",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"suffering from sneezing, itchy throat",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"experiencing coughing episodes, shortness of breath",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"vomiting, nausea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"experiencing weakness, rash",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"muscle aches, diarrhea, low-grade fever, stomach cramps, vomiting, nausea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"fever, nausea, weakness, diarrhea, abdominal cramps",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"feeling shortness of breath, fatigue, dry cough, loss of taste, sore throat, fever",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"suffering from muscle pain, joint pain, severe headache, high fever, fatigue, rash",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"suffering from low-grade fever, nausea, diarrhea, vomiting, stomach cramps",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"suffering from loss of appetite, weakness",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"experiencing fever, dry cough, sore throat, shortness of breath, body aches, fatigue, loss of taste",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"suffering from low-grade fever, diarrhea, nausea, vomiting, muscle aches",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"i have stomach pain, loss of appetite",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"sneezing, itchy eyes, itchy throat, nasal congestion, watery eyes, runny nose",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"i have shortness of breath, rapid breathing, chest tightness, wheezing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"suffering from chest tightness, shortness of breath, wheezing",Asthma,A condition in which your airways narrow and swell and may produce extra mucus.,"Avoid triggers (smoke, strong odors), carry an inhaler always.","Bronchodilators (Albuterol inhaler), Inhaled corticosteroids.",Immediate emergency care required for severe shortness of breath or if an inhaler doesn't help.
"suffering from fatigue, body aches, dry cough, shortness of breath, loss of taste, fever",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"sore throat, runny nose",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"feeling nausea, abdominal cramps, vomiting",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
